
--- Minimize function Ackley-10dim

TTOpt        | t=   3.4 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   3.7 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   2.9 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   2.2 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   2.6 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   3.9 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   3.2 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   2.2 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   2.3 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=   2.3 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=  40.5 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  37.2 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  40.8 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  39.1 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  39.8 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  35.8 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  37.2 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  39.1 | ey=2.2e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  41.1 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  41.2 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=   4.5 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   3.7 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   3.7 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   3.7 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   4.4 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   3.7 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   3.7 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   3.7 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   3.7 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   3.7 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   2.2 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   2.2 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   2.2 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   2.3 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   3.1 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   2.2 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   2.3 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   2.3 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   2.3 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   2.4 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4



--- Minimize function Alpine-10dim

TTOpt        | t=   0.7 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.8 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.8 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.7 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.8 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.9 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.7 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.6 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.7 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.7 | ey=2.0e-02 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   3.0 | ey=2.4e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   2.9 | ey=2.7e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   2.9 | ey=2.0e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   2.9 | ey=2.0e-02 | evals=1.0e+05 | p=2, q= 8, r=  4
