
--- Minimize function Ackley-10dim

TTOpt        | t=   0.5 | ey=1.3e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=3.6e-05 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=3.0e-05 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=1.2e-02 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=6.3e-02 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=2.1e-01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=3.2e-05 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=4.8e-10 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=8.7e-14 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=3.7e-09 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=4.2e-12 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=1.6e-14 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=2.5e-12 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=4.6e-12 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=1.2e-12 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=5.8e-12 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=1.6e-14 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   4.0 | ey=2.3e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=8.7e-14 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=4.7e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=2.5e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=1.6e-14 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=2.5e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=4.6e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=1.2e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.9 | ey=2.3e-12 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   4.0 | ey=1.6e-14 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.6 | ey=2.3e-12 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  19.3 | ey=8.7e-14 | evals=5.0e+05 | p=2, q=25, r=  4
