
--- Minimize function Ackley-10dim

DE           | t=  41.2 | ey=1.2e-02 | evals=1.0e+05
DE           | t=  40.3 | ey=5.4e-02 | evals=1.0e+05
DE           | t= 148.4 | ey=2.1e-31 | evals=1.0e+05
DE           | t=  39.7 | ey=2.4e-23 | evals=1.0e+05
DE           | t=  39.6 | ey=8.4e-03 | evals=1.0e+05
DE           | t=  41.0 | ey=1.8e-01 | evals=1.0e+05
DE           | t=  40.3 | ey=2.3e-05 | evals=1.0e+05
DE           | t=  39.3 | ey=8.9e-06 | evals=1.0e+05
DE           | t=  40.3 | ey=6.9e-02 | evals=1.0e+05
DE           | t=  40.5 | ey=4.6e-03 | evals=1.0e+05
NB           | t=  36.2 | ey=2.8e+01 | evals=1.0e+05
NB           | t=  35.1 | ey=2.7e+01 | evals=1.0e+05
NB           | t=  34.3 | ey=4.7e+01 | evals=1.0e+05
NB           | t=  37.2 | ey=7.2e+01 | evals=1.0e+05
NB           | t=  36.7 | ey=1.2e+01 | evals=1.0e+05
NB           | t=  42.1 | ey=2.6e+01 | evals=1.0e+05
NB           | t=  41.8 | ey=3.5e+01 | evals=1.0e+05
NB           | t=  39.2 | ey=5.4e+01 | evals=1.0e+05
NB           | t=  39.5 | ey=6.8e+01 | evals=1.0e+05
NB           | t=  32.9 | ey=2.2e+01 | evals=1.0e+05
PSO          | t=  48.0 | ey=2.0e+01 | evals=1.0e+05
PSO          | t=  45.1 | ey=1.7e+01 | evals=1.0e+05
PSO          | t=  44.3 | ey=2.5e+01 | evals=1.0e+05
PSO          | t=  46.5 | ey=6.8e+01 | evals=1.0e+05
PSO          | t=  46.7 | ey=2.5e+01 | evals=1.0e+05
PSO          | t=  43.6 | ey=3.1e+01 | evals=1.0e+05
PSO          | t=  44.4 | ey=1.1e+02 | evals=1.0e+05
PSO          | t=  45.4 | ey=1.6e+01 | evals=1.0e+05
PSO          | t=  45.2 | ey=1.3e+01 | evals=1.0e+05
PSO          | t=  45.8 | ey=2.1e+01 | evals=1.0e+05



--- Minimize function Exponential-10dim

TTOpt        | t=   2.5 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.7 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.6 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
GA           | t=   4.8 | ey=2.0e+00 | evals=1.0e+05
GA           | t=   4.9 | ey=2.0e+00 | evals=1.0e+05
GA           | t=   4.8 | ey=2.0e+00 | evals=1.0e+05
GA           | t=   4.8 | ey=2.0e+00 | evals=1.0e+05
GA           | t=   4.7 | ey=2.0e+00 | evals=1.0e+05
GA           | t=   4.9 | ey=2.0e+00 | evals=1.0e+05
GA           | t=   4.9 | ey=2.0e+00 | evals=1.0e+05
GA           | t=   4.9 | ey=2.0e+00 | evals=1.0e+05
GA           | t=   5.1 | ey=2.0e+00 | evals=1.0e+05
GA           | t=   4.9 | ey=2.0e+00 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
ES-OpenAI    | t=   1.1 | ey=2.0e+00 | evals=1.0e+05
